seed,norm,cooperation,fairness
24,11,0.089296,0.6718574635241302
25,11,0.096884,0.7550691985838429
26,11,0.092116,0.7263070707070707
27,11,0.103832,0.7466076306282492
28,11,0.09136,0.8588226412245437
29,11,0.107076,0.833721586898207
30,11,0.088956,0.7146045536867205
31,11,0.09758,0.7067445949368973
32,11,0.089648,0.7963307870182921
33,11,0.092612,0.7681946501588749
34,11,0.08416,0.6746965452847806
35,11,0.098496,0.7608435631098521
36,11,0.08764,0.7916494986952342
37,11,0.112132,0.7950207051606671
38,11,0.094016,0.7444820598691955
39,11,0.096044,0.7944176262550074
40,11,0.09778,0.7326054525861241
41,11,0.08378,0.7079808289772702
42,11,0.089128,0.7005306038198618
43,11,0.087068,0.7442073689863387
44,11,0.089424,0.6705945429327366
45,11,0.084692,0.7351657184983856
46,11,0.085236,0.6442861025441053
47,11,0.091228,0.7098456579036831
48,11,0.097504,0.67854841786618
49,11,0.089228,0.727245774036213
50,11,0.090768,0.7241054960514639
1,12,0.086188,0.7708060467146912
2,12,0.083396,0.725694026356278
3,12,0.08982,0.7084742600838666
4,12,0.085044,0.7628920131181087
5,12,0.083984,0.7077656439590917
6,12,0.082696,0.79026663566252
7,12,0.086208,0.8226034716806747
8,12,0.085308,0.7212595078881865
9,12,0.085716,0.690362502233692
10,12,0.082592,0.7542340127311419
11,12,0.0838,0.680739816809666
12,12,0.083948,0.7713630289948514
13,12,0.083332,0.6902814108153391
14,12,0.084768,0.7356882175870428
15,12,0.082464,0.7742277190872914
16,12,0.080988,0.6521489635298208
17,12,0.084152,0.7322643148259504
18,12,0.081156,0.7136785144834252
19,12,0.081828,0.6679064060252179
20,12,0.083824,0.7437822107997116
21,12,0.084524,0.7612055995890209
22,12,0.088132,0.7482772967210131
23,12,0.086796,0.6999451795370163
24,12,0.081916,0.7324445176733352
25,12,0.088324,0.7845971478536788
26,12,0.082636,0.7377609766564855
27,12,0.084356,0.7288203848264386
28,12,0.08146,0.6962868986418921
29,12,0.08494,0.7904725512673544
30,12,0.083872,0.8105187073584068
31,12,0.082912,0.728793261027144
32,12,0.082384,0.7618596853115566
33,12,0.085516,0.7531058829870374
34,12,0.079492,0.742760161553665
35,12,0.083604,0.782094017094017
36,12,0.077812,0.7605171709930201
37,12,0.085396,0.731823306703869
38,12,0.081188,0.8145513142092702
39,12,0.087916,0.8558063144311
40,12,0.08552,0.7454250853553767
41,12,0.080344,0.760904170646291
42,12,0.08104,0.7919421538766312
43,12,0.08548,0.707035902671431
44,12,0.087112,0.6830397841228165
45,12,0.081596,0.7234768931438599
46,12,0.08216,0.6483919209847328
47,12,0.085912,0.712494993651524
48,12,0.082432,0.7070562701815679
49,12,0.08456,0.7353692284420241
50,12,0.082716,0.705691827625706
1,13,0.087016,0.8074380591798148
2,13,0.085208,0.7612781099553152
3,13,0.093604,0.74393858196109
4,13,0.086208,0.7179395120616847
5,13,0.083436,0.6646047683980001
6,13,0.083608,0.7575975876129653
7,13,0.091292,0.7555960623974143
8,13,0.089404,0.7420456184102263
9,13,0.091792,0.6701771906729009
10,13,0.085016,0.7129748103343544
11,13,0.084668,0.7001648077881262
12,13,0.089492,0.7279917655344276
13,13,0.088284,0.7112063255505878
14,13,0.093156,0.7669238760703094
15,13,0.0859,0.6876614386378196
16,13,0.086204,0.6975568063372941
17,13,0.086492,0.7401881014873141
18,13,0.083628,0.6499460036644704
19,13,0.083948,0.6651788833405257
20,13,0.087128,0.7827294239949663
21,13,0.091672,0.7701470600801524
22,13,0.090372,0.6684417147808219
23,13,0.089804,0.6885113556766512
24,13,0.084392,0.6767156252593146
25,13,0.08918,0.7130728377262702
26,13,0.086276,0.7208657452051859
27,13,0.084952,0.7916347870441215
28,13,0.0843,0.7412995020582789
29,13,0.091324,0.7776004498075343
30,13,0.086936,0.7465842322195914
31,13,0.087692,0.7157350833521913
32,13,0.084952,0.7818796806308894
33,13,0.0883,0.7440781346177852
34,13,0.082732,0.7129456242169896
35,13,0.091424,0.7961610387777426
36,13,0.084112,0.8492908071350638
37,13,0.08856,0.7180402633177707
38,13,0.080656,0.7678009279438972
39,13,0.08736,0.7477508181822153
40,13,0.090064,0.7672192965346857
41,13,0.082604,0.800431594693347
42,13,0.086564,0.7041767128792445
43,13,0.089592,0.6879613112934554
44,13,0.084604,0.6456601508302822
45,13,0.084848,0.6820684125025448
46,13,0.085,0.7299068174122593
47,13,0.087692,0.7021772105983413
48,13,0.085452,0.7559993325305662
49,13,0.087,0.6954601267439656
50,13,0.086236,0.7053321214875408
1,14,0.092256,0.7208334836297177
2,14,0.094444,0.7095701540957016
3,14,0.097788,0.7005422753430721
4,14,0.093616,0.7093333956546465
5,14,0.093096,0.6970980773460199
6,14,0.088548,0.7802159947030297
7,14,0.113972,0.7876082933804357
8,14,0.090136,0.760037456561986
9,14,0.100936,0.694649338484955
10,14,0.085364,0.6925114224029724
11,14,0.085948,0.6917210514953752
12,14,0.099528,0.7174879098353073
13,14,0.115496,0.7088701458110483
14,14,0.102408,0.7692575144519712
15,14,0.090588,0.6748337092949274
16,14,0.091452,0.6616269157249994
17,14,0.088768,0.6646159582401192
18,14,0.098816,0.7026179313474678
19,14,0.097176,0.6739845455590026
20,14,0.095164,0.7440650211678249
21,14,0.094252,0.7545709492143968
22,14,0.09412,0.6978691543086786
23,14,0.097484,0.7533846499473829
24,14,0.097284,0.7315831822259182
25,14,0.113392,0.7448067632850243
26,14,0.085644,0.7755828881434547
27,14,0.11536,0.7115960633290543
28,14,0.095736,0.7292385957109808
29,14,0.093824,0.7907305590799767
30,14,0.088636,0.7376650791826799
31,14,0.088528,0.7037637047946327
32,14,0.108424,0.8394429637942052
33,14,0.091884,0.745951794642191
34,14,0.085172,0.7337486278088586
35,14,0.097456,0.7259383958803344
36,14,0.089304,0.7954548530745389
37,14,0.11326,0.723917937224139
38,14,0.089744,0.7578950086502956
39,14,0.095828,0.69865735263741
40,14,0.0999,0.7621406371406372
41,14,0.08594,0.768016512768753
42,14,0.088004,0.7190526501144568
43,14,0.094244,0.7113197741164788
44,14,0.095168,0.6888888888888889
45,14,0.090316,0.7456143679251249
46,14,0.089672,0.6446706972632399
47,14,0.095708,0.7597850088568586
48,14,0.09098,0.6857567724330152
49,14,0.090796,0.722002006410727
50,14,0.095772,0.692534040434554
1,15,0.090176,0.6943193997856377
2,15,0.099052,0.7381292606437502
3,15,0.10318,0.6930225630581013
4,15,0.10264,0.6538771129594848
5,15,0.091228,0.704823347961585
6,15,0.089332,0.7808531032830097
7,15,0.097316,0.7072755950245185
8,15,0.10898,0.7433391178294898
9,15,0.10232,0.7097868061572693
10,15,0.090592,0.6535848405382795
11,15,0.0893,0.6905910471106005
12,15,0.104264,0.7446060354041052
13,15,0.107532,0.694010182689428
14,15,0.096384,0.73353274755406
15,15,0.09008,0.7208676091489746
16,15,0.10086,0.7002867521917593
17,15,0.097876,0.6769911821122849
18,15,0.095212,0.658540002802298
19,15,0.09374,0.6534393260544898
20,15,0.097008,0.7089889835730496
21,15,0.098772,0.7248062890242984
22,15,0.096596,0.6528801571985475
23,15,0.104516,0.7560113128095075
24,15,0.09592,0.6847205628567635
25,15,0.106712,0.7081874577728641
26,15,0.096528,0.7398656855600223
27,15,0.097996,0.7353457178285289
28,15,0.1038,0.7706422018348624
29,15,0.10076,0.780160162285202
