norm,run,cooperation,fairness,strategies
150,18,0.8169216,0.28511694417719574,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1]"
150,19,0.790516,0.2905258185655163,"[13, 9, 9, 9, 9, 12, 13, 10, 9, 9, 12, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 15, 9, 9, 9, 9, 9, 9]"
150,20,0.7863262,0.2873135309889346,"[6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 14, 10, 6, 6, 6, 6, 6, 6, 6, 6, 14, 6, 14, 10, 6, 6, 6, 6, 6, 6, 6, 6, 11, 6, 6]"
150,21,0.7501326,0.25893020247552373,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 7, 2, 2, 2, 2, 2, 2, 2, 14, 2, 7, 2, 2, 2, 2, 2, 7, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
150,22,0.752107,0.20870057890228166,"[8, 8, 8, 8, 8, 8, 11, 6, 8, 8, 13, 8, 8, 8, 8, 8, 8, 8, 8, 13, 8, 8, 11, 8, 8, 8, 8, 8, 8, 11, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 11, 8, 8, 8, 8, 11]"
150,23,0.7877716,0.14163036561392828,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9]"
150,24,0.7791006,0.11971412024439107,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
150,25,0.8142188,0.39144175641204404,"[3, 6, 6, 6, 6, 6, 6, 6, 6, 7, 10, 6, 3, 6, 3, 6, 3, 6, 6, 10, 6, 6, 6, 6, 6, 6, 6, 6, 10, 10, 6, 6, 6, 10, 11, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 10, 15, 6, 6, 6]"
150,26,0.7332816,0.21240245603225846,"[8, 9, 2, 9, 9, 9, 9, 9, 12, 9, 11, 9, 9, 9, 9, 9, 9, 9, 11, 9, 9, 9, 9, 8, 11, 9, 9, 9, 12, 9, 8, 9, 11, 9, 9, 9, 9, 9, 11, 9, 1, 9, 9, 11, 9, 9, 8, 9, 9, 11]"
150,27,0.7479356,0.1241418459643326,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
150,28,0.6833294,0.23975823244661193,"[6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 14, 6, 6, 6, 6, 12, 6, 6, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6]"
150,29,0.7794526,0.16809736474159306,"[2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
150,30,0.7899938,0.34271748218226566,"[9, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 3, 13, 9, 9, 9, 9, 9, 9, 9, 9, 11, 9, 9, 11, 9, 9, 9, 9, 14, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 14, 9, 9, 9, 9]"
